id,text,label,origin,type,language,split
ru_8872,"знаете эти надписи на баночках с лекарствами звучащие как названия фильмов с подзаголовками? типа «ЦИПРОМЕД ципрофлоксацин 0.3%» вы спросите, что это такое я хз. наверное, киберпанк",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5231,"Знаю лично людей, которые лечились этим препаратом и успешно избавились от гепатита с. Чтобы лечение было эффективным к этому лекарству еще назначают таблетки рибавирин.",0.0,RuDReC,sentence,ru,SMM4H_26_train
zh_1298,我6月19号胃痛送去急诊科注射了两针颅通定针来止痛，结果6月23号就查出怀孕了，可是我月经应该是6月27来的，请问这两针对胎儿是否有影响，能不能生下来，请一定要帮帮我，我真的好着急第一次问题补充:病史:打过一胎第二次问题补充:如果生下来是否对孩子不利，能不能生下来第三次问题补充:药物名称:罗通定〔典〕,0.0,SMM4H_2026,120ask,zh,SMM4H_26_train
ja_13288,'ルルド先生が待機終了しました。06月21日22:30',0.0,SMM4H_2026,tweet,ja,SMM4H_26_train
en_14557,the following tweets are brought to you by seroquel™,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
ru_34,"Я если честно боюсь ребенку столько таблеток в день давать, поэтому принимали обычно три раза в день всего пять дней.",0.0,RuDReC,sentence,ru,SMM4H_26_train
en_11127,"rt @USER_______: my breakfast consists of vyvanse, coffee, and more vyvanse.",0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_11272,#phsm #hcsmeu Esanum had a Boehringer leader on the platform to answer questions on Pradaxa following a AE scare. In some cases privately,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
ru_2419,Ну это приблизительно до словно не помню просто.,0.0,RuDReC,sentence,ru,SMM4H_26_train
ja_12020,'一つ前に載せたつもりが投稿出来てませんでした💦今日はルルとターチが今年の干支の牛さんになりました😊💕,0.0,SMM4H_2026,tweet,ja,SMM4H_26_train
ja_19314,'ルルがやるなら絶対やるんだけどなぁ',0.0,SMM4H_2026,tweet,ja,SMM4H_26_train
en_13279,@USER_____ i was on that. class action law suit against paxil for ruining our relationships?,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
ja_3978,'びっくりしました！！イブ6さんの裏側が見れて、しめちゃんがあたたかい雰囲気の中でだいじさんたちと一緒にお仕事してて幸せそうで嬉しかったです😢💗イブ6の皆さんに愛されてることを改めて実感して感動してます😢✨いつも本当にありがとうございます😭✨,0.0,SMM4H_2026,tweet,ja,SMM4H_26_train
ja_8637,'コンタックが効く気がしてます〜ちなみに風邪のだるさとか熱、頭痛にはベンザブロックが好みです！お大事にしてください…🥲',0.0,SMM4H_2026,tweet,ja,SMM4H_26_train
ru_372,"Могу с уверенностью сказать, что этот препарат действительно работает!",0.0,RuDReC,sentence,ru,SMM4H_26_train
